SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#
MLS Listing,,Multi-Family (5+ Unit),239 W 80th St W,Los Angeles,CA,90003,750000,6,5,699 - Not Defined,2336,7169,1924,118,321,,Active,,,http://www.redfin.com/CA/Los-Angeles/239-W-80th-St-90003/home/7290385,CRMLS,PW17051080
MLS Listing,,Multi-Family (2-4 Unit),1031 Friar Ln,Pomona,CA,91766,830000,12,8,687 - Pomona,4125,9807,1964,119,201,,Active,,,http://www.redfin.com/CA/Pomona/1031-Friar-Ln-91766/home/7901393,CRMLS,PW17056110
MLS Listing,,Multi-Family (2-4 Unit),3855 Arlington Ave,Los Angeles (City),CA,90008,749000,4,2,Park Hills Heights,2380,6502,1924,119,315,,Active,,,http://www.redfin.com/CA/Los-Angeles/3855-Arlington-Ave-90008/home/6882205,TheMLS,17-212138
MLS Listing,,Multi-Family (2-4 Unit),1934 Locust Ave,Long Beach,CA,90806,435000,3,2,5 - Wrigley Area,1408,4502,1924,120,309,,Active,,,http://www.redfin.com/CA/Long-Beach/1934-Locust-Ave-90806/home/7572591,CRMLS,PW17055659
MLS Listing,,Multi-Family (2-4 Unit),217 E 80th St,Los Angeles,CA,90003,400000,2,2,C34 - Los Angeles Southwest,1370,4803,1915,120,292,,Active,,,http://www.redfin.com/CA/Los-Angeles/217-E-80th-St-90003/home/7289207,CRMLS,DW17055618
MLS Listing,,Multi-Family (2-4 Unit),3055-1/2 Future St,Los Angeles (City),CA,90065,798000,1,3,Mount Washington,1419,2448,1926,120,562,,Active,,,http://www.redfin.com/CA/Los-Angeles/3053-1-2-Future-St-90065/home/113436231,TheMLS,17-212260
MLS Listing,,Multi-Family (5+ Unit),10456 South Vermont Ave,Los Angeles (City),CA,90044,545000,0,,Metropolitan Southwest,2800,2514,1946,121,195,,Active,,,http://www.redfin.com/CA/Los-Angeles/10456-S-Vermont-Ave-90044/home/22140872,TheMLS,17-211972
MLS Listing,,Multi-Family (2-4 Unit),2960 2962 W Avenue 35,Glassell Park,CA,90065,698000,3,2,623 - Glassel Park,1804,5663,1923,122,387,,Active,,,http://www.redfin.com/CA/Los-Angeles/2962-West-Avenue-35-90065/home/113432991,CRMLS,CV17053600
MLS Listing,,Multi-Family (2-4 Unit),2742 Benedict St,Los Angeles,CA,90039,768888,5,2,699 - Not Defined,1272,5399,1922,122,604,,Active,,,http://www.redfin.com/CA/Los-Angeles/2742-Benedict-St-90039/home/7067871,CRMLS,DW17053746
MLS Listing,,Multi-Family (2-4 Unit),2233 E 14th St,Long Beach,CA,90804,859900,7,7,"3 - Eastside, Circle Area",2927,6492,2012,122,294,,Active,,,http://www.redfin.com/CA/Long-Beach/2233-E-14th-St-90804/home/7605681,CRMLS,OC17053468
MLS Listing,,Multi-Family (2-4 Unit),6102 Colfax Ave,North Hollywood,CA,91606,649000,3,2,North Hollywood (NHO),1205,5444,1949,122,539,,Active,,,http://www.redfin.com/CA/Los-Angeles/6102-Colfax-Ave-91606/home/5123446,TheMLS,17-209458
MLS Listing,,Multi-Family (2-4 Unit),2424 Michigan Ave,Los Angeles,CA,90033,525000,3,2,BOYH - Boyle Heights,1512,6704,1924,123,347,,Active,,,http://www.redfin.com/CA/Los-Angeles/2424-Michigan-Ave-90033/home/6940683,CRMLS,WS17048771
MLS Listing,,Multi-Family (2-4 Unit),516 E 32nd St,Los Angeles,CA,90011,455600,4,2,C42 - Downtown L.A.,1588,5000,1903,123,287,,Active,,,http://www.redfin.com/CA/Los-Angeles/516-E-32nd-St-90011/home/6928743,CRMLS,DW17051547
MLS Listing,,Multi-Family (2-4 Unit),1946-1/2 West 39th St,Los Angeles (City),CA,90062,480000,6,3,Park Hills Heights,2766,6006,1948,124,174,,Active,,,http://www.redfin.com/CA/Los-Angeles-City/1946-1-2-W-39th-St-90062/unit-3/home/113422766,TheMLS,17-210584
MLS Listing,,Multi-Family (2-4 Unit),239 East 87th Pl,Los Angeles (City),CA,90003,550000,6,4,Metropolitan South,2700,6282,1930,125,204,,Active,,,http://www.redfin.com/CA/Los-Angeles/239-E-87th-Pl-90003/home/7297240,TheMLS,17-210430
MLS Listing,,Multi-Family (2-4 Unit),2094 Fair Oaks Ave,Altadena,CA,91001,799900,,,604 - Altadena,,8917,1927,125,,,Active,,,http://www.redfin.com/CA/Altadena/2094-Fair-Oaks-Ave-91001/home/22113799,i-Tech MLS,317002150
MLS Listing,,Multi-Family (2-4 Unit),913 Geraghty Ave,East Los Angeles,CA,90063,399888,4,2,ELA - East Los Angeles,1024,4346,1923,127,391,,Active,,,http://www.redfin.com/CA/Los-Angeles/913-Geraghty-Ave-90063/home/6956367,CRMLS,DW17048656
MLS Listing,,Multi-Family (2-4 Unit),9721 Evers Ave,Los Angeles,CA,90002,475000,,,C34 - Los Angeles Southwest,1914,6960,1921,128,248,,Active,,,http://www.redfin.com/CA/Los-Angeles/9721-Evers-Ave-90002/home/7301041,CRMLS,DW17048863
MLS Listing,,Multi-Family (2-4 Unit),4411 3rd Ave,Los Angeles,CA,90043,800000,6,2,C34 - Los Angeles Southwest,2267,2856,1931,128,353,,Active,,,http://www.redfin.com/CA/Los-Angeles/4411-3rd-Ave-90043/home/6869727,CRMLS,DW17047766
MLS Listing,,Multi-Family (2-4 Unit),146 W Vernon Ave,Los Angeles,CA,90037,740000,8,4,C23 - Metropolitan,3972,6076,1914,129,186,,Active,,,http://www.redfin.com/CA/Los-Angeles/146-W-Vernon-Ave-90037/home/6923790,CRMLS,DW17047738
MLS Listing,,Multi-Family (2-4 Unit),1415 Allison Ave,Los Angeles (City),CA,90026,789000,1,1,Silver Lake/Echo Park,1338,4999,1922,129,590,,Active,,,http://www.redfin.com/CA/Los-Angeles/1415-Allison-Ave-90026/home/7053269,TheMLS,17-209220
MLS Listing,,Multi-Family (2-4 Unit),1332 E 4th St,Santa Ana,CA,92701,729000,4,2,70 - Santa Ana North of First,1628,6203,1952,129,448,,Active,,,http://www.redfin.com/CA/Santa-Ana/1332-E-4th-St-92701/home/4467245,CRMLS,OC17047350
MLS Listing,,Multi-Family (2-4 Unit),1330 E 4th St,Santa Ana,CA,92701,729000,4,2,70 - Santa Ana North of First,1628,6547,1952,129,448,,Active,,,http://www.redfin.com/CA/Santa-Ana/1330-E-4th-St-92701/home/4467243,CRMLS,OC17047329
MLS Listing,,Multi-Family (2-4 Unit),11808 Painter Ave,Whittier,CA,90605,899000,27,9,670 - Whittier,3613,18954,1955,130,249,,Active,,,http://www.redfin.com/CA/Whittier/11808-Painter-Ave-90605/home/7760474,CRMLS,DW17046653
MLS Listing,,Multi-Family (2-4 Unit),346 W 75th St,Los Angeles,CA,90003,475000,5,3,C34 - Los Angeles Southwest,1912,6353,1925,130,248,,Active,,,http://www.redfin.com/CA/Los-Angeles/346-W-75th-St-90003/home/7290151,CRMLS,PW17046168
MLS Listing,,Multi-Family (2-4 Unit),8149 Arrow Rte,Rancho Cucamonga,CA,91730,375000,3,2,688 - Rancho Cucamonga,1798,12960,1944,130,209,,Active,,,http://www.redfin.com/CA/Rancho-Cucamonga/8149-Arrow-Rte-91730/home/3285796,CRMLS,EV17043980
MLS Listing,,Multi-Family (2-4 Unit),1500 Allison Ave,Los Angeles,CA,90026,840000,2,2,671 - Silver Lake,1034,2722,1900,130,812,,Active,,,http://www.redfin.com/CA/Los-Angeles/1500-Allison-Ave-90026/home/7053326,CRMLS,DW17030211
MLS Listing,,Multi-Family (2-4 Unit),6600 S Van Ness Ave,Los Angeles,CA,90047,409000,2,2,PHHT - Park Hills Heights,1038,2250,1936,130,394,,Active,,,http://www.redfin.com/CA/Los-Angeles/6600-S-Van-Ness-Ave-90047/home/7280359,CRMLS,IN17046198
MLS Listing,,Multi-Family (2-4 Unit),432 W Orangewood Ave,Anaheim,CA,92802,765000,4,8,78 - Anaheim East of Harbor,3434,2444,1964,131,223,690,Active,,,http://www.redfin.com/CA/Anaheim/432-W-Orangewood-Ave-92802/unit-432/home/5223947,CRMLS,OC17045811
MLS Listing,,Multi-Family (2-4 Unit),706 S Mott St,Los Angeles,CA,90023,470000,4,2,BOYH - Boyle Heights,1460,3668,1923,131,322,,Active,,,http://www.redfin.com/CA/Los-Angeles/706-S-Mott-St-90023/home/6942312,CRMLS,OC17045341
MLS Listing,,Multi-Family (2-4 Unit),3425 Plata St,Los Angeles,CA,90026,799900,4,4,671 - Silver Lake,1822,4681,1925,131,439,,Active,,,http://www.redfin.com/CA/Los-Angeles/3425-Plata-St-90026/home/7051633,CRISNet,SR17045106
MLS Listing,,Multi-Family (2-4 Unit),1549 West 106th St,Los Angeles (City),CA,90047,499999,5,3,Metropolitan Southwest,2423,5822,1938,134,206,,Active,,,http://www.redfin.com/CA/Los-Angeles/1549-W-106th-St-90047/home/7309356,TheMLS,17-207664
MLS Listing,,Multi-Family (2-4 Unit),662 N Gordon St,Pomona,CA,91768,799900,8,4,687 - Pomona,3824,8740,1983,135,209,,Active,,,http://www.redfin.com/CA/Pomona/662-N-Gordon-St-91768/home/7898223,CRMLS,WS17042618
MLS Listing,,Multi-Family (2-4 Unit),2626 2628 1/2 W Ave 32,Los Angeles,CA,90065,849000,4,4,623 - Glassel Park,2028,11752,1951,135,419,,Active,,,http://www.redfin.com/CA/Los-Angeles/2628-West-Avenue-32-90065/home/113233304,i-Tech MLS,317001852
MLS Listing,,Multi-Family (2-4 Unit),14638 Calvert St,Van Nuys,CA,91411,649900,3,2,VN - Van Nuys,1178,5250,1926,136,552,,Active,,,http://www.redfin.com/CA/Los-Angeles/14638-Calvert-St-91411/home/4654903,i-Tech MLS,317001757
MLS Listing,,Multi-Family (2-4 Unit),11830 South New Hampshire Ave,Los Angeles (City),CA,90044,700000,7,4,Metropolitan Southwest,3319,8470,1956,136,211,,Active,,,http://www.redfin.com/CA/Los-Angeles/11830-S-New-Hampshire-Ave-90044/home/7320382,TheMLS,17-205922
MLS Listing,,Multi-Family (2-4 Unit),11127 W Hondo,Temple City,CA,91780,695000,5,4,661 - Temple City,1654,8361,1947,136,420,,Active,,,http://www.redfin.com/CA/Temple-City/11127-W-Hondo-Pkwy-91780/home/8001938,CRMLS,WS17040995
MLS Listing,,Multi-Family (2-4 Unit),1332 S Ferris Ave,East Los Angeles,CA,90022,549900,4,2,ELA - East Los Angeles,2239,5047,1960,137,246,,Active,,,http://www.redfin.com/CA/East-Los-Angeles/1332-S-Ferris-Ave-90022/home/6965111,CRMLS,DW17040382
MLS Listing,,Multi-Family (2-4 Unit),8461 Cypress Ave,South Gate,CA,90280,525000,3,3,"T2 - Cudahy, SouthGate W of 710, HuntPk S of Flore",1592,5996,1954,138,330,,Active,,,http://www.redfin.com/CA/South-Gate/8461-Cypress-Ave-90280/home/7378068,CRMLS,DW17040198
MLS Listing,,Multi-Family (2-4 Unit),3921 3923 E 6th,East Los Angeles,CA,90023,612000,5,3,ELA - East Los Angeles,1886,10348,1927,140,324,,Active,,,http://www.redfin.com/CA/Los-Angeles/3923-E-6th-St-90023/home/113193912,CRMLS,TR17039065
MLS Listing,,Multi-Family (2-4 Unit),1043 South Plymouth,Los Angeles (City),CA,90019,898000,4,2,Hancock Park,2272,8515,1921,140,395,,Active,,,http://www.redfin.com/CA/Los-Angeles/1043-S-Plymouth-Blvd-90019/home/6911384,TheMLS,17-205536
MLS Listing,,Multi-Family (2-4 Unit),1037 South Plymouth,Los Angeles (City),CA,90019,860000,4,2,Hancock Park,2158,6003,1922,140,399,,Active,,,http://www.redfin.com/CA/Los-Angeles/1037-S-Plymouth-Blvd-90019/home/6911385,TheMLS,17-205496
MLS Listing,,Multi-Family (2-4 Unit),615 West Imperial Hwy,Los Angeles (City),CA,90044,650000,5,4,Los Angeles Southwest,2509,5568,1955,141,259,,Active,,,http://www.redfin.com/CA/Los-Angeles/615-W-Imperial-Hwy-90044/home/7317584,TheMLS,17-205036
MLS Listing,,Multi-Family (2-4 Unit),833 N Atlantic Blvd,Alhambra,CA,91801,829999,3,3,601 - Alhambra,2065,6828,1923,142,402,,Active,July-15-2017 11:00 AM,July-15-2017 3:00 PM,http://www.redfin.com/CA/Alhambra/833-N-Atlantic-Blvd-91801/home/7008997,CRMLS,PW17035978
MLS Listing,,Multi-Family (2-4 Unit),2747 Malabar St,Los Angeles,CA,90033,550000,,,C37 - Metropolitan South,1741,5850,1923,142,316,,Active,,,http://www.redfin.com/CA/Los-Angeles/2747-Malabar-St-90033/home/6939061,CRMLS,DW17037144
MLS Listing,,Multi-Family (2-4 Unit),9403 Bandera St,Los Angeles,CA,90002,420000,4,2,WATT - Watts,1804,7152,1958,144,233,,Active,,,http://www.redfin.com/CA/Los-Angeles/9403-Bandera-St-90002/home/7301670,CRMLS,RS17035516
MLS Listing,,Multi-Family (2-4 Unit),443 Ulysses St,Los Angeles,CA,90065,800000,11,7,680 - Mount Washington,3148,10788,1904,144,254,,Active,,,http://www.redfin.com/CA/Los-Angeles/443-Ulysses-St-90065/home/7070356,CRISNet,SR17035466
MLS Listing,,Multi-Family (2-4 Unit),,Los Angeles (City),CA,90016,809000,6,4,Mid Los Angeles,2112,5038,1921,145,383,,Active,,,http://www.redfin.com/CA/Los-Angeles/Undisclosed-address-90016/home/6899895,TheMLS,17-203656
MLS Listing,,Multi-Family (2-4 Unit),1743 Lake St,Glendale,CA,91201,699000,3,2,626 - Glendale-Northwest,1354,6980,1937,146,516,,Active,,,http://www.redfin.com/CA/Glendale/1743-Lake-St-91201/home/7149713,CRISNet,SR17034486
MLS Listing,,Multi-Family (2-4 Unit),6911 Compton Ave,Compton,CA,90001,475000,8,2,"RN - Compton N of Rosecrans, E of Central",1580,5113,1912,147,301,,Active,,,http://www.redfin.com/CA/Los-Angeles/6911-Compton-Ave-90001/home/7276177,CRMLS,CV17034159
MLS Listing,,Multi-Family (2-4 Unit),6905 Compton Ave,Compton,CA,90001,450000,3,3,"RN - Compton N of Rosecrans, E of Central",1320,2314,1923,148,341,,Active,,,http://www.redfin.com/CA/Los-Angeles/6905-Compton-Ave-90001/home/7276176,CRMLS,CV17033305
MLS Listing,,Multi-Family (2-4 Unit),718 Joann St,Costa Mesa,CA,92627,815000,4,2,C2 - Southwest Costa Mesa,1807,4857,1962,149,451,,Active,,,http://www.redfin.com/CA/Costa-Mesa/718-Joann-St-92627/home/4564089,CRMLS,OC17032379
MLS Listing,,Multi-Family (2-4 Unit),500 E 15th,Santa Ana,CA,92701,678000,3,3,70 - Santa Ana North of First,,7346,1960,151,,,Active,,,http://www.redfin.com/CA/Huntington-Beach/500-15th-St-92648/home/4464513,CRMLS,OC17031277
MLS Listing,,Multi-Family (2-4 Unit),2218 Naomi Ave,Los Angeles,CA,90011,389000,4,3,699 - Not Defined,1895,2727,1916,151,205,,Active,,,http://www.redfin.com/CA/Los-Angeles/2218-Naomi-Ave-90011/home/6928402,CRMLS,DW17024812
MLS Listing,,Multi-Family (5+ Unit),6125 Stafford,Huntington Park,CA,90255,870000,3,6,699 - Not Defined,3524,7470,1926,152,247,,Active,,,http://www.redfin.com/CA/Huntington-Park/6125-Stafford-Ave-90255/home/7423959,CRMLS,CV17029874
MLS Listing,,Multi-Family (2-4 Unit),3438 6th Ave,Los Angeles,CA,90018,479000,5,3,C16 - Mid Los Angeles,2000,5807,1922,154,240,,Active,July-15-2017 1:00 PM,July-15-2017 4:00 PM,http://www.redfin.com/CA/Los-Angeles/3438-6th-Ave-90018/home/6888365,CRMLS,OC17029128
MLS Listing,,Multi-Family (2-4 Unit),2441 Hillcrest Dr,Los Angeles (City),CA,90016,785000,5,3,Mid Los Angeles,1773,5074,1959,155,443,,Active,,,http://www.redfin.com/CA/Los-Angeles/2441-Hillcrest-Dr-90016/home/6897146,TheMLS,17-200862
MLS Listing,,Multi-Family (2-4 Unit),1440 E O St,Wilmington,CA,90744,379000,5,2,196 - East Wilmington,1559,4768,1928,157,243,,Active,,,http://www.redfin.com/CA/Los-Angeles/1440-E-O-St-90744/home/7680577,CRMLS,RS17027107
MLS Listing,,Multi-Family (2-4 Unit),5714 Orange Ave,Long Beach,CA,90805,625000,6,5,7 - North Long Beach,2171,4183,1980,158,288,,Active,,,http://www.redfin.com/CA/Long-Beach/5714-Orange-Ave-90805/home/22137845,CRMLS,PW17026268
MLS Listing,,Multi-Family (2-4 Unit),2410 Houston St,Los Angeles,CA,90033,439900,4,2,BOYH - Boyle Heights,1472,2024,1965,158,299,,Active,,,http://www.redfin.com/CA/Los-Angeles/2410-Houston-St-90033/home/6938987,CRMLS,DW17014900
MLS Listing,,Multi-Family (2-4 Unit),1437 N Carmelita Ave,Los Angeles,CA,90063,599000,6,3,C23 - Metropolitan,2904,5568,1959,158,206,,Active,,,http://www.redfin.com/CA/Los-Angeles/1437-N-Carmelita-Ave-90063/home/6955316,CRMLS,DW17025762
MLS Listing,,Multi-Family (2-4 Unit),1158 E 41st St,Los Angeles,CA,90011,525000,4,3,699 - Not Defined,2007,6164,1920,159,262,,Active,,,http://www.redfin.com/CA/Los-Angeles/1158-E-41st-St-90011/home/6926668,CRMLS,DW17025178
MLS Listing,,Multi-Family (2-4 Unit),433 N Palm Ave,Alhambra,CA,91801,875000,4,2,601 - Alhambra,2196,7560,1924,159,398,,Active,,,http://www.redfin.com/CA/Alhambra/433-N-Palm-Ave-91801/home/7019519,CRMLS,WS17025096
MLS Listing,,Multi-Family (2-4 Unit),1866 West 57th St,Los Angeles (City),CA,90062,489900,4,3,Park Hills Heights,2254,6048,1929,159,217,,Active,,,http://www.redfin.com/CA/Los-Angeles/1866-W-57th-St-90062/home/6864286,TheMLS,17-199230
MLS Listing,,Multi-Family (2-4 Unit),1513 West 58th Pl,Los Angeles (City),CA,90047,323000,2,2,Los Angeles Southwest,1116,4815,1924,161,289,,Active,,,http://www.redfin.com/CA/Los-Angeles/1513-W-58th-Pl-90047/home/7270357,TheMLS,17-199544
MLS Listing,,Multi-Family (2-4 Unit),3550 Sierra St,Los Angeles,CA,90031,599000,4,3,699 - Not Defined,1600,5022,1924,161,374,,Active,,,http://www.redfin.com/CA/Los-Angeles/3550-Sierra-St-90031/home/7000391,CRMLS,IN17023889
MLS Listing,,Multi-Family (2-4 Unit),6620 Arlington Ave,Los Angeles (City),CA,90043,535000,4,3,Los Angeles Southwest,2129,4801,1929,161,251,,Active,,,http://www.redfin.com/CA/Los-Angeles/6620-Arlington-Ave-90043/home/6419954,TheMLS,17-189692
MLS Listing,,Multi-Family (5+ Unit),2821 Sierra St,Los Angeles,CA,90031,668000,3,6,677 - Lincoln Hts,2854,7491,1923,162,234,,Active,,,http://www.redfin.com/CA/Los-Angeles/2821-Sierra-St-90031/home/6947137,CRMLS,WS17023260
MLS Listing,,Multi-Family (2-4 Unit),1439 East 22nd St,Los Angeles (City),CA,90011,535000,6,3.75,Downtown Los Angeles,2259,5677,1923,162,237,,Active,,,http://www.redfin.com/CA/Los-Angeles/1439-E-22nd-St-90011/home/6928452,TheMLS,17-199224
MLS Listing,,Multi-Family (2-4 Unit),4744 159th St,Lawndale,CA,90260,750000,5,3,113 - South Lawndale,2317,6011,1951,163,324,,Active,,,http://www.redfin.com/CA/Lawndale/4744-W-159th-St-90260/home/6567619,CRMLS,SB17022609
MLS Listing,,Multi-Family (5+ Unit),7911 Avalon,Los Angeles (City),CA,90003,695000,5,5,Metropolitan South,968,5639,1936,164,718,,Active,,,http://www.redfin.com/CA/Los-Angeles/7911-Avalon-Blvd-90003/home/7289974,TheMLS,17-198584
MLS Listing,,Multi-Family (2-4 Unit),4371 South St Andrews Pl,Los Angeles (City),CA,90062,495000,5,2,Park Hills Heights,1544,6255,1920,164,321,,Active,,,http://www.redfin.com/CA/Los-Angeles/4371-S-Saint-Andrews-Pl-90062/home/6875430,TheMLS,17-198572
MLS Listing,,Multi-Family (2-4 Unit),4817 South Gramercy Pl,Los Angeles (City),CA,90062,675000,5,3,Park Hills Heights,3360,6500,1919,164,201,,Active,,,http://www.redfin.com/CA/Los-Angeles/4817-S-Gramercy-Pl-90062/home/6870075,TheMLS,17-198344
MLS Listing,,Multi-Family (5+ Unit),626 East 51st St,Los Angeles (City),CA,90011,639000,5,5,Downtown Los Angeles,3265,4674,1905,165,196,,Active,,,http://www.redfin.com/CA/Los-Angeles/626-E-51st-St-90011/home/6919449,TheMLS,17-198252
MLS Listing,,Multi-Family (2-4 Unit),5227 Long Beach Ave,Los Angeles,CA,90058,350000,9,3,C37 - Metropolitan South,2443,3184,1960,165,143,,Active,,,http://www.redfin.com/CA/Vernon/5227-Long-Beach-Ave-90058/home/113000948,CRMLS,DW17010964
MLS Listing,,Multi-Family (2-4 Unit),5950 Priory St,Bell Gardens,CA,90201,510000,6,3,699 - Not Defined,1582,5804,1939,169,322,,Active,,,http://www.redfin.com/CA/Bell-Gardens/5950-Priory-St-90201/home/7388257,CRMLS,TR17017716
MLS Listing,,Multi-Family (2-4 Unit),2441 Workman St,Los Angeles,CA,90031,799000,4,4,677 - Lincoln Hts,2928,9901,1910,170,273,,Active,,,http://www.redfin.com/CA/Los-Angeles/2441-Workman-St-90031/home/6945602,CRMLS,CV17017232
MLS Listing,,Multi-Family (5+ Unit),2111 West Florence Ave #6,Los Angeles (City),CA,90047,899999,8,6,Park Hills Heights,3928,4997,1956,173,229,,Active,,,http://www.redfin.com/CA/Los-Angeles/2111-W-Florence-Ave-90047/unit-6/home/112967263,TheMLS,17-195594
MLS Listing,,Multi-Family (2-4 Unit),12207 Hadley St,Whittier,CA,90601,585000,,,678 - N. Whittier,2051,6361,1923,173,285,,Active,,,http://www.redfin.com/CA/Whittier/12207-Hadley-St-90601/home/7813065,CRMLS,DW17014350
MLS Listing,,Multi-Family (2-4 Unit),5212 Ithaca Ave,Los Angeles,CA,90032,589900,5,2,699 - Not Defined,1830,4784,1920,177,322,,Active,,,http://www.redfin.com/CA/Los-Angeles/5212-Ithaca-Ave-90032/home/6951494,CRMLS,BB17011492
MLS Listing,,Multi-Family (2-4 Unit),148 La Porte St,Arcadia,CA,91006,780000,4,3,605 - Arcadia,1632,7998,1947,177,478,,Active,,,http://www.redfin.com/CA/Arcadia/148-La-Porte-St-91006/home/7230998,CRMLS,AR17011372
MLS Listing,,Multi-Family (2-4 Unit),1859 West 66th St,Los Angeles (City),CA,90047,510000,4,2,Los Angeles Southwest,1934,5315,1930,178,264,,Active,,,http://www.redfin.com/CA/Los-Angeles/1859-W-66th-St-90047/home/7280260,TheMLS,17-194408
MLS Listing,,Multi-Family (2-4 Unit),135 E 54th St,Los Angeles,CA,90011,399900,4,2,699 - Not Defined,1,4960,1907,179,399900,,Active,,,http://www.redfin.com/CA/Los-Angeles/135-E-54th-St-90011/home/6918943,CRMLS,OC17010704
MLS Listing,,Multi-Family (2-4 Unit),2325 South Catalina St,Los Angeles (City),CA,90007,719000,4,2,Mid Los Angeles,3763,5606,1921,182,191,,Active,,,http://www.redfin.com/CA/Los-Angeles/2325-S-Catalina-St-90007/home/22136989,TheMLS,17-193274
MLS Listing,,Multi-Family (2-4 Unit),6799 California Ave,Long Beach,CA,90805,529000,3,3,7 - North Long Beach,1635,5536,1928,183,324,,Active,,,http://www.redfin.com/CA/Long-Beach/6799-California-Ave-90805/home/7508313,CRMLS,PW17006372
MLS Listing,,Multi-Family (2-4 Unit),942 S Fetterly Ave,Los Angeles,CA,90022,590000,4,3,699 - Not Defined,1534,6824,1925,183,385,,Active,,,http://www.redfin.com/CA/East-Los-Angeles/942-S-Fetterly-Ave-90022/home/6965896,CRMLS,IG17007967
MLS Listing,,Multi-Family (2-4 Unit),1932 West 54th St,Los Angeles (City),CA,90062,750000,4,4,Park Hills Heights,2720,8157,1922,184,276,,Active,,,http://www.redfin.com/CA/Los-Angeles/1932-W-54th-St-90062/home/6864231,TheMLS,17-192854
MLS Listing,,Multi-Family (2-4 Unit),8905 S Hoover St,Los Angeles,CA,90044,625000,6,5,C36 - Metropolitan Southwest,3415,9225,1926,184,183,,Active,,,http://www.redfin.com/CA/Los-Angeles/8905-S-Hoover-St-90044/home/7295365,CRMLS,IN17006822
MLS Listing,,Multi-Family (2-4 Unit),1117 W 58th Pl,Los Angeles,CA,90044,430000,3,3,699 - Not Defined,1436,4799,1922,187,299,,Active,,,http://www.redfin.com/CA/Los-Angeles/1117-W-58th-Pl-90044/home/7271221,CRMLS,MB17004838
MLS Listing,,Multi-Family (2-4 Unit),1647 Cortez St,Los Angeles (City),CA,90026,815000,6,2,Silver Lake/Echo Park,1825,3999,1905,191,447,,Active,,,http://www.redfin.com/CA/Los-Angeles/1647-Cortez-St-90026/home/6936644,TheMLS,17-189916
MLS Listing,,Multi-Family (5+ Unit),1138 E 20th St,Los Angeles,CA,90011,899000,10,5,699 - Not Defined,2948,6000,1964,191,305,,Active,,,http://www.redfin.com/CA/Los-Angeles/1138-E-20th-St-90011/home/6930914,CRMLS,MB17002769
MLS Listing,,Multi-Family (2-4 Unit),5833 Cartwright Ave,North Hollywood,CA,91601,839000,4,4,North Hollywood (NHO),2268,9839,1957,192,370,,Active,,,http://www.redfin.com/CA/Los-Angeles/5833-Cartwright-Ave-91601/home/5291771,TheMLS,17-190130
MLS Listing,,Multi-Family (5+ Unit),2940 Tweedy Blvd,South Gate,CA,90280,650000,3,6,T4 - South Gate E of 710,2858,5021,1947,200,227,,Active,,,http://www.redfin.com/CA/South-Gate/2940-Tweedy-Blvd-90280/home/22132197,CRMLS,PW16766797
MLS Listing,,Multi-Family (2-4 Unit),3309 W 71st St,Los Angeles,CA,90043,430000,4,2,C34 - Los Angeles Southwest,1444,4126,1921,204,298,,Active,,,http://www.redfin.com/CA/Los-Angeles/3309-W-71st-St-90043/home/6417454,CRMLS,DW16767298
MLS Listing,,Multi-Family (2-4 Unit),4032 Halldale Ave,Los Angeles,CA,90062,869000,7,5,C34 - Los Angeles Southwest,3276,6968,1907,208,265,,Active,,,http://www.redfin.com/CA/Los-Angeles/4032-Halldale-Ave-90062/home/6874398,CRMLS,DW16765185
MLS Listing,,Multi-Family (2-4 Unit),616 East 25th St,Los Angeles (City),CA,90011,620000,5,4,Downtown Los Angeles,1400,7289,1922,210,443,,Active,,,http://www.redfin.com/CA/Los-Angeles/616-E-25th-St-90011/home/6930068,TheMLS,16-187308
MLS Listing,,Multi-Family (2-4 Unit),142 West 43rd Pl,Los Angeles (City),CA,90037,440000,2,2,Downtown Los Angeles,1586,5400,1925,211,277,,Active,,,http://www.redfin.com/CA/Los-Angeles/142-W-43rd-Pl-90037/home/6924550,TheMLS,16-187176
MLS Listing,,Multi-Family (2-4 Unit),550 West 41st Dr,Los Angeles (City),CA,90037,729998,6,5,Downtown Los Angeles,3120,6763,1921,222,234,,Active,,,http://www.redfin.com/CA/Los-Angeles/550-W-41st-Dr-90037/home/6873508,TheMLS,16-184512
MLS Listing,,Multi-Family (2-4 Unit),2005 Magnolia Ave,Long Beach,CA,90806,549000,4,2,5 - Wrigley Area,2248,4819,1941,226,244,,Active,,,http://www.redfin.com/CA/Long-Beach/2005-Magnolia-Ave-90806/home/7568826,CRMLS,PV16755519
MLS Listing,,Multi-Family (2-4 Unit),3835 Floral Dr,East Los Angeles,CA,90063,580000,4,2,ELA - East Los Angeles,1382,24488,1946,227,420,,Active,,,http://www.redfin.com/CA/Los-Angeles/3835-Floral-Dr-90063/home/6957775,CRMLS,CV16755025
