SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE,ZIP,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#
MLS Listing,,Multi-Family (2-4 Unit),13129 Waco St,Baldwin Park,CA,91706,578800,4,3,608 - Baldwin Pk/Irwindale,1704,14107,1946,92,340,,Active,,,http://www.redfin.com/CA/Baldwin-Park/13129-Waco-St-91706/home/7988631,CRMLS,WS17080087
MLS Listing,,Multi-Family (2-4 Unit),6915 South Harvard,Los Angeles (City),CA,90047,685000,4,3,Los Angeles Southwest,1328,5504,1941,92,516,,Active,,,http://www.redfin.com/CA/Los-Angeles/6915-Harvard-Blvd-90047/home/7279776,TheMLS,17-221230
MLS Listing,,Multi-Family (2-4 Unit),1625 West 49th St,Los Angeles (City),CA,90062,549000,3,3,Los Angeles Southwest,1992,6396,1921,93,276,,Active,,,http://www.redfin.com/CA/Los-Angeles/1625-W-49th-St-90062/home/6871297,TheMLS,17-220950
MLS Listing,,Multi-Family (2-4 Unit),1248 W Florence Ave,Los Angeles,CA,90044,533500,4,3,C34 - Los Angeles Southwest,2180,4826,1922,93,245,,Active,,,http://www.redfin.com/CA/Los-Angeles/1248-W-Florence-Ave-90044/home/7282604,CRMLS,CV17062155
MLS Listing,,Multi-Family (2-4 Unit),3486 West 63rd St,Los Angeles (City),CA,90043,250000,0,1,Park Hills Heights,616,2160,1922,93,406,,Active,,,http://www.redfin.com/CA/Los-Angeles/3486-W-63rd-St-90043/home/6416394,TheMLS,17-220316
MLS Listing,,Multi-Family (2-4 Unit),2001 Baudin St,Pomona,CA,91766,452000,5,3,687 - Pomona,2147,7674,1964,94,211,,Active,,,http://www.redfin.com/CA/Pomona/2001-Baudin-St-91766/home/7902791,CRMLS,PW17078378
MLS Listing,,Multi-Family (5+ Unit),313 East 36th St,Los Angeles (City),CA,90011,640000,6,5,Downtown Los Angeles,2577,4632,1921,94,248,,Active,,,http://www.redfin.com/CA/Los-Angeles/313-E-36th-St-90011/home/6928659,TheMLS,17-220328
MLS Listing,,Multi-Family (2-4 Unit),358 North Breed St,Los Angeles (City),CA,90033,789000,6,3,Boyle Heights,2134,4126,1912,95,370,,Active,,,http://www.redfin.com/CA/Los-Angeles/358-N-Breed-St-90033/home/6938093,TheMLS,17-219978
MLS Listing,,Multi-Family (2-4 Unit),152 W 70th St,Los Angeles,CA,90003,495000,4,2,C34 - Los Angeles Southwest,1920,5104,1923,96,258,,Active,,,http://www.redfin.com/CA/Los-Angeles/152-W-70th-St-90003/home/7277408,CRMLS,RS17076148
MLS Listing,,Multi-Family (2-4 Unit),1938 New England St,Los Angeles (City),CA,90007,850000,4,3,Mid Los Angeles,2447,7000,1905,96,347,,Active,,,http://www.redfin.com/CA/Los-Angeles/1938-New-England-St-90007/home/6896975,TheMLS,17-219720
